home_team,away_team,home_times,away_times,home_win,away_win,home_goals,away_goals,home_r_win,away_r_win,home_Ave_goal,away_Ave_goal,result
Portugal,Spain,30,63,14,30,49,99,0.4666666666666667,0.4761904761904761,1.6333333333333333,1.5714285714285714,-1
France,Australia,66,16,34,2,120,13,0.5151515151515151,0.125,1.818181818181818,0.8125,1
Argentina,Iceland,81,3,43,0,137,2,0.5308641975308642,0.0,1.691358024691358,0.6666666666666666,-1
Peru,Denmark,18,20,5,9,21,30,0.2777777777777778,0.45,1.1666666666666667,1.5,0
Croatia,Nigeria,23,21,11,6,35,23,0.4782608695652174,0.2857142857142857,1.5217391304347827,1.0952380952380951,1
Costa Rica,Serbia,18,13,5,4,19,11,0.2777777777777778,0.3076923076923077,1.0555555555555556,0.8461538461538461,0
Germany,Mexico,109,57,67,16,226,60,0.6146788990825688,0.2807017543859649,2.073394495412844,1.0526315789473684,0
Brazil,Switzerland,109,37,73,12,229,50,0.6697247706422018,0.3243243243243243,2.1009174311926606,1.351351351351351,-1
Sweden,Korea Republic,51,34,19,6,80,34,0.3725490196078431,0.1764705882352941,1.568627450980392,1.0,1
Belgium,Panama,48,3,20,0,68,2,0.4166666666666667,0.0,1.4166666666666667,0.6666666666666666,1
Tunisia,England,15,69,2,29,13,91,0.1333333333333333,0.4202898550724637,0.8666666666666667,1.318840579710145,0
Colombia,Japan,22,21,9,5,32,20,0.4090909090909091,0.238095238095238,1.4545454545454546,0.9523809523809524,0
Poland,Senegal,34,8,16,3,46,11,0.4705882352941176,0.375,1.3529411764705883,1.375,0
Russia,Egypt,45,7,19,0,77,5,0.4222222222222222,0.0,1.711111111111111,0.7142857142857143,1
Portugal,Morocco,30,16,14,2,49,14,0.4666666666666667,0.125,1.6333333333333333,0.875,1
Uruguay,Saudi Arabia,56,16,24,3,87,11,0.4285714285714285,0.1875,1.5535714285714286,0.6875,1
Iran,Spain,15,63,2,30,9,99,0.1333333333333333,0.4761904761904761,0.6,1.5714285714285714,0
Denmark,Australia,20,16,9,2,30,13,0.45,0.125,1.5,0.8125,-1
France,Peru,66,18,34,5,120,21,0.5151515151515151,0.2777777777777778,1.818181818181818,1.1666666666666667,1
Argentina,Croatia,81,23,43,11,137,35,0.5308641975308642,0.4782608695652174,1.691358024691358,1.5217391304347827,0
Brazil,Costa Rica,109,18,73,5,229,19,0.6697247706422018,0.2777777777777778,2.1009174311926606,1.0555555555555556,1
Nigeria,Iceland,21,3,6,0,23,2,0.2857142857142857,0.0,1.0952380952380951,0.6666666666666666,1
Serbia,Switzerland,13,37,4,12,11,50,0.3076923076923077,0.3243243243243243,0.8461538461538461,1.351351351351351,0
Belgium,Tunisia,48,15,20,2,68,13,0.4166666666666667,0.1333333333333333,1.4166666666666667,0.8666666666666667,1
Korea Republic,Mexico,34,57,6,16,34,60,0.1764705882352941,0.2807017543859649,1.0,1.0526315789473684,0
Germany,Sweden,109,51,67,19,226,80,0.6146788990825688,0.3725490196078431,2.073394495412844,1.568627450980392,1
England,Panama,69,3,29,0,91,2,0.4202898550724637,0.0,1.318840579710145,0.6666666666666666,1
Japan,Senegal,21,8,5,3,20,11,0.238095238095238,0.375,0.9523809523809524,1.375,-1
Poland,Colombia,34,22,16,9,46,32,0.4705882352941176,0.4090909090909091,1.3529411764705883,1.4545454545454546,0
Russia,Uruguay,45,56,19,24,77,87,0.4222222222222222,0.4285714285714285,1.711111111111111,1.5535714285714286,0
Saudi Arabia,Egypt,16,7,3,0,11,5,0.1875,0.0,0.6875,0.7142857142857143,1
Spain,Morocco,63,16,30,2,99,14,0.4761904761904761,0.125,1.5714285714285714,0.875,-1
Iran,Portugal,15,30,2,14,9,49,0.1333333333333333,0.4666666666666667,0.6,1.6333333333333333,-1
Australia,Peru,16,18,2,5,13,21,0.125,0.2777777777777778,0.8125,1.1666666666666667,0
Denmark,France,20,66,9,34,30,120,0.45,0.5151515151515151,1.5,1.818181818181818,-1
Nigeria,Argentina,21,81,6,43,23,137,0.2857142857142857,0.5308641975308642,1.0952380952380951,1.691358024691358,0
Iceland,Croatia,3,23,0,11,2,35,0.0,0.4782608695652174,0.6666666666666666,1.5217391304347827,0
Korea Republic,Germany,34,109,6,67,34,226,0.1764705882352941,0.6146788990825688,1.0,2.073394495412844,1
Mexico,Sweden,57,51,16,19,60,80,0.2807017543859649,0.3725490196078431,1.0526315789473684,1.568627450980392,0
